Name,Action,XP,Class,ID,Coords,Name,NPC Name,Location,Level,Text,WowHead
TurnIn: [QT4186],TurnIn,,,4186,,The True Masters,Magistrate Solomon,Eastern Plaguelands,,,
Accept: [QA4223],Accept,,,4223,,The True Masters,Magistrate Solomon,Eastern Plaguelands,,,
Fly to Burning Steppes,Fly,,,,,,,Burning Steppes,,,
TurnIn: [QT4223],TurnIn,,,4223,,The True Masters,Marshal Maxwell,Burning Steppes,,,
Accept: [QA4224],Accept,,,4224,,The True Masters,Marshal Maxwell,Burning Steppes,,,
Accept: [QA4286],Accept,,,4286,,The good Stuff,Oralius,Burning Steppes,,,
Do: [QC4224],Do,,,4224,,The True Masters,Ragged John,Burning Steppes,,,
Accept: [QA4123],Accept,,,4123,,The heart of the Mountain,Maxwort Uberglint,Burning Steppes,,,
Accept: [QA3825],Accept,,,3825,,Ogre Head on a Stick = party,,Burning Steppes,,,
Do: [QC3825],Do,,,3825,,Ogre Head on a Stick = party,,Burning Steppes,,,
Accept: [QA4024],Accept,,,4024,,A taste of Flame,Cyrus Therepentous,Burning Steppes,,,
TurnIn: [QT4224],TurnIn,,,4224,,The True Masters,Marshal Maxwell,Burning Steppes,,,
Accept: [QA4241],Accept,,,4241,,Marshal Windsor,Marshal Maxwell,Burning Steppes,,,
TurnIn: [QT3825],TurnIn,,,3825,,Ogre Head on a Stick = party,Oralius,Burning Steppes,,,
Accept: [QA4262],Accept,,,4262,,Overmaster Pyron,Jalinda Sprig,Burning Steppes,,,
Grind in  till level ,Grind,,,,,,,,,In LBRS till 60,
